id,date,time,direction,motorcycle,car,bus,truck
253,2023-09-03,17:15,stadium,,,,
254,2023-09-03,17:15,JalanPerak,,,,
255,2023-09-03,17:15,JalanPRamlee,,,,
256,2023-09-03,17:15,JalanPenang,,,,
257,2023-09-03,17:30,stadium,,,,
258,2023-09-03,17:30,JalanPerak,,,,
259,2023-09-03,17:30,JalanPRamlee,,,,
260,2023-09-03,17:30,JalanPenang,,,,
261,2023-09-03,17:45,stadium,,,,
262,2023-09-03,17:45,JalanPerak,,,,
263,2023-09-03,17:45,JalanPRamlee,,,,
264,2023-09-03,17:45,JalanPenang,,,,
265,2023-09-03,18:00,stadium,,,,
266,2023-09-03,18:00,JalanPerak,,,,
267,2023-09-03,18:00,JalanPRamlee,,,,
268,2023-09-03,18:00,JalanPenang,,,,
269,2023-09-03,18:15,stadium,,,,
270,2023-09-03,18:15,JalanPerak,,,,
271,2023-09-03,18:15,JalanPRamlee,,,,
272,2023-09-03,18:15,JalanPenang,,,,
273,2023-09-03,18:30,stadium,,,,
274,2023-09-03,18:30,JalanPerak,,,,
275,2023-09-03,18:30,JalanPRamlee,,,,
276,2023-09-03,18:30,JalanPenang,,,,
277,2023-09-04,07:00,stadium,55.0,90.0,1.0,0.0
278,2023-09-04,07:00,JalanPerak,60.0,129.0,0.0,0.0
279,2023-09-04,07:00,JalanPRamlee,69.0,104.0,0.0,0.0
280,2023-09-04,07:00,JalanPenang,116.0,96.0,2.0,0.0
281,2023-09-04,07:15,stadium,76.0,108.0,0.0,0.0
282,2023-09-04,07:15,JalanPerak,78.0,123.0,1.0,0.0
283,2023-09-04,07:15,JalanPRamlee,63.0,91.0,0.0,0.0
284,2023-09-04,07:15,JalanPenang,61.0,97.0,0.0,0.0
285,2023-09-04,07:30,stadium,61.0,73.0,6.0,1.0
286,2023-09-04,07:30,JalanPerak,59.0,89.0,1.0,0.0
287,2023-09-04,07:30,JalanPRamlee,57.0,93.0,0.0,0.0
288,2023-09-04,07:30,JalanPenang,76.0,85.0,1.0,2.0
289,2023-09-04,07:45,stadium,,,,
290,2023-09-04,07:45,JalanPerak,,,,
291,2023-09-04,07:45,JalanPRamlee,47.0,80.0,0.0,0.0
292,2023-09-04,07:45,JalanPenang,53.0,105.0,1.0,1.0
293,2023-09-04,08:00,stadium,36.0,59.0,1.0,0.0
294,2023-09-04,08:00,JalanPerak,47.0,94.0,2.0,0.0
295,2023-09-04,08:00,JalanPRamlee,66.0,89.0,3.0,0.0
296,2023-09-04,08:00,JalanPenang,68.0,73.0,2.0,1.0
297,2023-09-04,08:15,stadium,46.0,44.0,1.0,0.0
298,2023-09-04,08:15,JalanPerak,61.0,99.0,0.0,1.0
299,2023-09-04,08:15,JalanPRamlee,80.0,83.0,1.0,0.0
300,2023-09-04,08:15,JalanPenang,64.0,123.0,2.0,1.0
301,2023-09-04,08:30,stadium,40.0,53.0,0.0,0.0
302,2023-09-04,08:30,JalanPerak,71.0,113.0,4.0,0.0
303,2023-09-04,08:30,JalanPRamlee,61.0,97.0,1.0,0.0
304,2023-09-04,08:30,JalanPenang,48.0,106.0,5.0,0.0
305,2023-09-04,08:45,stadium,,,,
306,2023-09-04,08:45,JalanPerak,54.0,86.0,2.0,2.0
307,2023-09-04,08:45,JalanPRamlee,,,,
308,2023-09-04,08:45,JalanPenang,,,,
309,2023-09-04,12:00,stadium,22.0,18.0,8.0,1.0
310,2023-09-04,12:00,JalanPerak,39.0,25.0,3.0,0.0
311,2023-09-04,12:00,JalanPRamlee,19.0,35.0,2.0,0.0
312,2023-09-04,12:00,JalanPenang,46.0,22.0,5.0,2.0
313,2023-09-04,12:15,stadium,33.0,28.0,6.0,1.0
314,2023-09-04,12:15,JalanPerak,43.0,39.0,2.0,2.0
315,2023-09-04,12:15,JalanPRamlee,10.0,20.0,3.0,0.0
316,2023-09-04,12:15,JalanPenang,30.0,29.0,9.0,1.0
317,2023-09-04,12:30,stadium,22.0,20.0,7.0,0.0
318,2023-09-04,12:30,JalanPerak,39.0,46.0,3.0,0.0
319,2023-09-04,12:30,JalanPRamlee,25.0,30.0,11.0,0.0
320,2023-09-04,12:30,JalanPenang,44.0,30.0,5.0,0.0
321,2023-09-04,12:45,stadium,,,,
322,2023-09-04,12:45,JalanPerak,35.0,44.0,1.0,0.0
323,2023-09-04,12:45,JalanPRamlee,,,,
324,2023-09-04,12:45,JalanPenang,,,,
325,2023-09-04,13:00,stadium,85.0,71.0,13.0,1.0
326,2023-09-04,13:00,JalanPerak,65.0,57.0,0.0,2.0
327,2023-09-04,13:00,JalanPRamlee,,,,
328,2023-09-04,13:00,JalanPenang,61.0,33.0,6.0,0.0
329,2023-09-04,13:15,stadium,53.0,66.0,10.0,0.0
330,2023-09-04,13:15,JalanPerak,48.0,72.0,2.0,2.0
331,2023-09-04,13:15,JalanPRamlee,,,,
332,2023-09-04,13:15,JalanPenang,69.0,43.0,12.0,0.0
333,2023-09-04,13:30,stadium,42.0,50.0,6.0,0.0
334,2023-09-04,13:30,JalanPerak,56.0,47.0,2.0,1.0
335,2023-09-04,13:30,JalanPRamlee,,,,
336,2023-09-04,13:30,JalanPenang,51.0,42.0,5.0,1.0
337,2023-09-04,13:45,stadium,64.0,70.0,2.0,0.0
338,2023-09-04,13:45,JalanPerak,45.0,66.0,7.0,0.0
339,2023-09-04,13:45,JalanPRamlee,,,,
340,2023-09-04,13:45,JalanPenang,,,,
341,2023-09-04,17:00,stadium,103.0,199.0,3.0,0.0
342,2023-09-04,17:00,JalanPerak,76.0,89.0,4.0,1.0
343,2023-09-04,17:00,JalanPRamlee,,,,
344,2023-09-04,17:00,JalanPenang,72.0,139.0,4.0,4.0
345,2023-09-04,17:15,stadium,119.0,191.0,4.0,0.0
346,2023-09-04,17:15,JalanPerak,73.0,121.0,3.0,4.0
347,2023-09-04,17:15,JalanPRamlee,,,,
348,2023-09-04,17:15,JalanPenang,86.0,114.0,5.0,2.0
349,2023-09-04,17:30,stadium,134.0,227.0,1.0,3.0
350,2023-09-04,17:30,JalanPerak,62.0,124.0,4.0,2.0
351,2023-09-04,17:30,JalanPRamlee,,,,
352,2023-09-04,17:30,JalanPenang,83.0,136.0,10.0,0.0
353,2023-09-04,17:45,stadium,110.0,211.0,2.0,0.0
354,2023-09-04,17:45,JalanPerak,56.0,118.0,0.0,1.0
355,2023-09-04,17:45,JalanPRamlee,,,,
356,2023-09-04,17:45,JalanPenang,,,,
357,2023-09-04,18:00,stadium,97.0,162.0,1.0,0.0
358,2023-09-04,18:00,JalanPerak,56.0,98.0,1.0,0.0
359,2023-09-04,18:00,JalanPRamlee,,,,
360,2023-09-04,18:00,JalanPenang,78.0,116.0,3.0,0.0
361,2023-09-04,18:15,stadium,116.0,182.0,0.0,0.0
362,2023-09-04,18:15,JalanPerak,69.0,92.0,0.0,1.0
363,2023-09-04,18:15,JalanPRamlee,,,,
364,2023-09-04,18:15,JalanPenang,83.0,132.0,2.0,0.0
365,2023-09-04,18:30,stadium,74.0,105.0,1.0,0.0
366,2023-09-04,18:30,JalanPerak,43.0,78.0,1.0,0.0
367,2023-09-04,18:30,JalanPRamlee,,,,
368,2023-09-04,18:30,JalanPenang,89.0,113.0,1.0,1.0
369,2023-09-04,18:45,stadium,89.0,113.0,2.0,0.0
370,2023-09-04,18:45,JalanPerak,46.0,64.0,2.0,0.0
371,2023-09-04,18:45,JalanPRamlee,,,,
372,2023-09-04,18:45,JalanPenang,,,,
373,2023-09-05,07:00,stadium,73.0,65.0,1.0,1.0
374,2023-09-05,07:00,JalanPerak,98.0,103.0,0.0,1.0
375,2023-09-05,07:00,JalanPRamlee,,,,
376,2023-09-05,07:00,JalanPenang,106.0,115.0,1.0,0.0
377,2023-09-05,07:15,stadium,56.0,108.0,0.0,1.0
378,2023-09-05,07:15,JalanPerak,84.0,135.0,0.0,1.0
379,2023-09-05,07:15,JalanPRamlee,,,,
